asin	external_ids
B000R7YVF6	"2227928,795871578214,0885493746204,731646278071,0787734773607,0795871578214,0885667338945,857441,0885260248740,6935743156230,6897776950318,885103761467,0885194961982,0699328367225,794628217604,00787734747615,885667338945,885260248740,0799457659007,885493746204,9309759674212,787734773607,00787734773607,0885103761467,2771959,7098705882420,022506112018,5056018928305,077349353180,787734747615,7887364487844,2939455,0787734747615,5956,SP033,737932157259,00022506112018,0022506112018,631113227444,0794628217604,731339102010,0731338911675,VC-585851,10022506112015,00798411419176,8851933614923,0811495944041,HCS-062,731338911675,42522,00885260248740,00731338911675,00699328367225,0631113227444,811495944041,0077349353180,627928,799457659007,08851933614923,0731646278071,0731339102010,885194961982,699328367225,0737932157259,00885667338945,0798411419176,798411419176,05056018928305,00885194961982,6935743847336"
B092NWT94Q	"726528433877,00726528433877,0726528433877"
B08JP5SDBP	"0079625031430,00079625031430,079625031430"
B000GCTPG2	"030768009670,1K801258-M1,USNU-3076800967-B000GCTPG2-EA,K801258,AXSDWN801258,AUS-215,0030768009670,8711600791886,0303680093240,0341490,801-258,310183,00030768009670,45211,1444-10117976-5205,SDN-00967,101825,659060,DAY65906-0,UU659060,SDW021,303680093240,801258"
B002CBXG92	"00753950002098,753950002098,33099,DRB-00209,B002CBXG92,PT79251-753950002098,DRB-002098,DRB1104,ADB-049,DRBEST-00209-B-34,142-00209,WPID1314,DBE00209,0753950002098,00301653928551,52721,301653928551,SL4E-DRB-00209,80336,79251,37807,DB149,784,7770,drb-vitamin-d3-180-1000iu,DRB-0209,645-0013,0301653928551,21047,230772"
B09TKNWPW1	"616833192937,0616833192937"
B004S44DTS	"783318881218,0827755002000,05906731504006,00793379206264,5906731504006,0783318881218,0796549360681,0783327174493,0070194099029,0785525794831,145021,00783318881218,KR-827755002000,785525794831,00796549360681,0798256437175,682-435,0793379206264,00798256437175,00070194099029,00783327174493,793379206264,FL55032,785525862721,796549360681,00827755002000,0785525862721,070194099029,827755002000,798256437175,783327174493,00785525794831"
B00K8K937I	"799559297411,031364,025077000715,00025077000715,0025077000715,00799559297411,0799559297411,00840093102102"
B0057PJV2G	"5509005583167,7535001023596,7257259958955,7336117860002,CAR-15-WH,7844908456582,0784276013413,CAR-15H-WH,5741,5899406087419,00784276013413,784276013413,07257259958955,07844908456582"
B001IY03L8	"0785923407562,00300055567658,207259,0300055567641,DFD-072,06293421006322,4607028981418,0885662220757,300055567658,00300055567641,885411971930,293-670,0300055567658,0885411971930,00885411971930,6293421006322,556765,00785923407562,785923407562,293670,50300055567646,300055567641,04607028981418,00885662220757,885662220757"
B004R68SF2	"002063,074312120633,0074312120633,00074312120633"
B08VK4ZF87	"00647865904038,0647865904038,647865904038"
B00FDKO4DG	"311845169112,1691-100,0311845169112,00311845169112"
B00DG2YR8U	"G-U148689-00-001,230148,3319,0033984033191,033984033191,SOLE3319,SL-7001,00033984033191,SL-3319,SL4E-SOLGAR-3319"
B0067ED4ME	"024844287526,K33PS7021,K33-PS7021,5052267865071,05052267865071,KNPS-7021,K01PS-7021,KNE-PS-7021,K&amp;NPS-7021,656892,BBWQPS-7021,PS-7021,0024844287526,KNE:PS-7021,7258006537164,00024844287526,07258006537164,599-PS-7021"
B000C31KQS	"PSK-1-FRAPH9688,009100041371,FFPH9688,HWR-146710,cwcge04130,FRA:PH9688,8002388,B000C31KQS,FRAPH9688,FFPH9688.5340,0009100041371,rm-FTA-PH9688,PH9688,F24PH9688,F24-PH9688,410-PH9688,B1003047,FF-PH9688,FRA-PH9688,00009100041371,FRAMPH9688,BCWZPH9688"
B000GAQCP6	"5509005587387,7336117868428,145247,B000GAQCP6,PTSBSTCR5019STAP-.5in,HH-27505551,00795871499885,05509005587387,795871499885,403527,STCR50191/2-1M,07785004534692,0077914005209,07336117868428,Stanley Bostitch301248,2001519,301248,05448095480195,0795871499885,077914005209,BOS-STCR5019-1-2-1,5448095480195,7785004534692,1-BOS-STCR5019-1-2-1,4410353,2750-1949,RM145247,00077914005209,BHSTCR50191/2-1M,00791400052090,2001519-2083"
B09CW6L23D	"0074887732200,10074887732207,074887732200"
B0921P68RP	"00763795737833,763795737833,0763795737833"
B004UIDQHW	"PV5032136,884830438796,890332404436,8855622452759,678213564857,0787461239230,0885685703169,0678213564857,885136225097,0010181045066,0524883346579,0885136225097,00010181045066,0885190557011,010181045066,0794866306429,701830774528,524883346579,890840329061,885848225415,0885848225415,885685703169,794866306429,787461239230,0885566428952,887855526912,885566428952,8111152558270,885173816005,0884830438796,0890865056805,0701830774528,0890332404436,0890840329061,0887855526912,890865056805,0885173816005,885190557011"
B09LRBT9QH	"0052427016294,052427016294"
B01J2ZA760	"700613019146,858081006394,0700613019146,00858081006394,0858081006394"
B00ZDO5ALW	"00306969277720,BRN096,BUSAFBA16-40,731339106476,0190283556070,0731339106476,ABO-102,306969277720,190283556070,0306969277720"
B00H5PJ0HW	"00767644519168,4607161450949,0767644519168,00074312530869,05609963319386,074312530869,053086,5609963319386,0074312530869,767644519168"
B091ZG7NLY	"0763795740857,763795740857,00763795740857"
B00BJKXZUC	"4002541122698,04002541122698"
B0779BFXXJ	04021447221021
B000UTNW3I	"0890666542460,22479,152248,140059,436b,885892210368,9781893211612,PV890081,00793379198200,1027000016,0885684350845,07566-3,TIGTEXU5404200,bh36,03474123421030,593159059369,00615908975260,885281413332,TI-BH-140059,00885281413332,885684350845,00885684350845,TIBH140059,2774_104masin_sc,TEMP-1340658674,0885551964786,0707002017875,0884858999095,0885427567622,701000823742,FN152248,701001053667,2774_103masin_sc,885637229044,0754495030058,#0615908406221,WW_942235,787734792516,885471740804,882177582523,00885791507668,00885551964786,0721866527783,10159,793379198200,0885281413332,0741655995890,721866527783,00741655995890,child-4335,3474123421030,0784922982360,08717893144,00087178931442,12002233;0,885165865752,811439606479,885123170805,JR942235,0601000531237,00615908404692,721866519528,0885204189542,TIG_BHHTG1.5oz,0885686023532,1001799250,00787461410226,2000084100007,0104915471518,0593159059369,787461410226,06909120526480,620,008717893144,885686023532,104915471518,3937476,00882177582523,489,TIG00048_-42gr,08656112527786,0615908406221,890666542460,3930,0885637229044,787734495653,0787734792516,AR_4288149,8076252,0784922650634,00811439606479,00885637229044,0087178931442,00885471740804,8717893144,PV528159,707002017875,087178931442,0787461410226,00701001053667,300106890,885551964786,615908406221,00615908426229,STR-87178,00593159059369,0721866519528,00SKBQ-000,00784922650634,0072671041057,8656112527786,615908426229,942235,0008717893144,6909122331587,06909122331587,PV639998,6210,STYLHARDTOGET42G.,0701000823742,00601000531237,1659-1-5-oz,00795827526764,Unwind-208,00884858999095,885427567622,743877037662,0795827526764,00885686023532,797142753795,2789::615908406221,615908404692,0797142753795,00615908406221,00885427567622,0885471740804,105829267,0885123170805,784922650634,885810085986,0882177582523,6909110476627,00743877037662,0885165865752,STN-87178-8717893144,0701001053667,00890666542460,784922982360,795827526764,09781893211612,2000232600007,0885810085986,80003756-42,unwind-706,EverybodysHairshop872,SXAJ-VWPY-AML-002,SB08717893144,6909120526480,onln14084,SUP024369,00885204189542,0885892210368,child-9161,0811439606479,741655995890,00721866519528,05054596026413,885791507668,00797142753795,00707002017875,00885892210368,0793379198200,00885165865752,615908975260,00890691892707,885204189542,00787734792516,00008717893144,0743877037662,0615908975260,754495030058,169391,072671041057,4288149-DB-HB-1754,B000UTNW3I,SB08717893144-87178,Mis_TIG_BHHTG1.5oz,12885,87178,0787734495653,00701000823742,00885123170805,06909110476627,tigihaircare031,5054596026413,ML841,00784922982360,570,601000531237,00787734495653,890691892707,0885198959794,0885791507668,0890691892707,0615908426229,884858999095,0615908404692,885198959794"
B08X18NW8J	"328595166001,00012443999131,0328595166001,012443999131,0012443999131"
B09TKNSDQ7	"616833192982,0616833192982"
B001HITON8	"0885370187465,G-U13700-00-001,00074312055775,885621384414,094-08-1257,00885113387381,0885113387381,G-U16167-00-001,795871639458,0764442964862,772195517006,074312055775,0795871639458,885366649977,00772195517006,0749447591961,308530,005577,00764442964862,764442964862,749447591961,0795186378745,885370187465,00795186378745,795186378745,11031252,797706421726,0885621384414,G-U13700-01-001,0772195517006,0797706421726,0885366649977,5577,885113387381,BFORT011,0074312055775,00885370187465"
B08HNZGVWX	"0840095865609,840095865609,00840095865609"
B006X7O1E0	"LN078477212394,078477212394,0078477212394,00078477212394"
B08ZH6P1NY	"0035000992604,035000992604,00035000992604,10035000992601"
B00196A658	"758379010006,CFVL575,575ECCO,0758379010006,ECC575,E51575,00758379010006,ZO G4206447"
B01BD0PFZK	"767674003958,0767674003958,0631656607260,00767674003958,00631656607260,631656607260"
B002XM3IP2	"5899406096152,S6F255315,05899406096152,W10-0117,6521515451544,255-315 R17850,06521515451544,426899543495,474347,L-275-255315,00675904001691,6919289876616,07147905931671,1202.1017,10-0117,06919289876616,0752324010264,675904001691,00752324010264,255-315,49171,SHURFLO255-315,0426899543495,00426899543495,752324010264,275-255315,0675904001691,7147905931671"
B00R42HK64	"00776578369817,MET-016,00731339135322,06935743760062,0776578369817,776578369817,6935743760062,0731339135322,731339135322,BCEZ,0679234055317,679234055317,00679234055317"
B000C2WFA4	"BBSC31838,072053638943,0072053638943,31838,7258006558565,GAT-31838,GAT 31838,GAT31838,31838-GAT,GTS31838,GAT:31838,mon0000111239,465-31838,00072053638943,ZO-31838"
B08X22P7DM	"012443999438,0012443999438,00012443999438"
B00TBJVIDE	"612082108323,0612082764550,35171RNM,35171RNM DISC,00612082764550,0612082108323,00612082108323,612082764550"
B00IO3E1IW	"00311960751889,0311960751889,311960751889"
B005BFL0RQ	"easy to use and carry,00616784111322,616784111322,1113,KR-616784111322(2),1308,UPC,6510-00-786-3736,0616784111322,2662,812180_loc"
B0823Y2H56	"811748033249,0811748033249,00811748033249"
B00ZFY5IDK	"00819024012315,0819024012315,819024012315"
B07S246HWW	"860001659009,00860001659009,0860001659009"
